BindingDB Reactant_set_id,Ligand SMILES,BindingDB MonomerID,BindingDB Ligand Name,Target Name,Ki (nM)
51172146,CNc1ccc(/C=C/c2ccc(OCCCCCCCCCCCCF)cc2)cc1,50481135,CHEMBL576655,Amyloid-beta precursor protein,7.5
51162672,CN(C)c1ccc(/C=C/c2cnc(OCCO)c(I)c2)cc1,50476280,CHEMBL224148,Amyloid-beta precursor protein,7.5
50330477,CN(C)c1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,50178538,4-(5-(4-(dimethylamino)phenyl)thiophen-2-yl)phenol::CHEMBL377279,Amyloid-beta precursor protein,7.5
51172880,CN1C(=O)c2ccc(Nc3ccccc3)cc2C1=O,50481604,CHEMBL610505,Amyloid-beta precursor protein,7.6
51163413,CN(C)c1ccc(-c2cn3cc([N+](=O)[O-])ccc3n2)cc1,50476659,CHEMBL244757,Amyloid-beta precursor protein,7.6
51179888,CNc1ccc(/C=C/c2ccc(OCCOCCOCCOCCOCCOCC(COCCOCCOCCOCCOCCOc3ccc(/C=C/c4ccc(NC)cc4)cn3)OCCF)nc2)cc1,50485239,CHEMBL2042125,Amyloid-beta precursor protein,7.7
51172140,CN(C)c1ccc(/C=C/c2ccccc2I)cc1,50481131,CHEMBL565623,Amyloid-beta precursor protein,7.7
50342829,CCCC(=O)OC[C@@H](COOOP(=O)(O)O[C@H]1[C@H](O)[C@@H](OP(=O)(O)O)[C@H](O)[C@H](O)[C@@H]1O)OC(=O)CCC,50185057,"CHEMBL207423::[(1S,2R,3R,4S,5S,6R)-3-[[(2S)-2,3-dibutanoyloxypropoxy]-hydroxy-phosphoryl]oxy-2,4,5,6-tetrahydroxy-cyclohexyl]oxyphosphonic acid",Amyloid-beta precursor protein,7.8
51165577,CSc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,50477824,CHEMBL252766,Amyloid-beta precursor protein,7.9
51172130,CNc1ccc(/C=C/c2ccc(OCCCCCCCCCCCCCCF)cc2)cc1,50481127,CHEMBL566917,Amyloid-beta precursor protein,8.2
51163420,CN(C)c1ccc(-c2cn3cc(C#N)ccc3n2)cc1,50476665,CHEMBL442269,Amyloid-beta precursor protein,8.2
51163421,COc1ccc(CSc2ccc3nc(-c4ccc(N(C)C)cc4)cn3c2)cc1,50476666,CHEMBL388460,Amyloid-beta precursor protein,8.3
51163429,CCSc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,50476673,CHEMBL242194,Amyloid-beta precursor protein,8.3
582013,Nc1ccc(-c2nc3ccccc3s2)cc1I,303156,"US10137210, Example 00023",Amyloid-beta precursor protein,8.32
51162670,CNc1ccc(/C=C/c2cnc(OCCO)c(I)c2)cc1,50476278,CHEMBL224149,Amyloid-beta precursor protein,8.5
50236152,CNc1ccc(-c2nc3ccc(C#N)cc3s2)cc1,50129787,2-(4-Methylamino-phenyl)-benzothiazole-6-carbonitrile::CHEMBL92802,Amyloid-beta precursor protein,8.6
51172138,CNc1ccc(/C=C/c2ccc(OCCCCCCCCCCCCCCCCF)cc2)cc1,50481130,CHEMBL566711,Amyloid-beta precursor protein,9.0
51169502,O=[N+]([O-])c1ccc(-c2nc3ccccc3s2)cc1,50479682,2-(4-Nitrophenyl)Benzo[D]Thiazole::CHEMBL477841,Amyloid-beta precursor protein,9.0
50344604,Nc1ccc(/C=C/C=C/C=C/c2ccc(N)cc2)cc1,50185992,"1,6-bis(4'-aminophenyl)-hexa-1,3,5-triene::CHEMBL208456",Amyloid-beta precursor protein,9.0
51162666,CNc1ccc(/C=C/c2cnc(OCCOCCOCCF)c(I)c2)cc1,50476274,CHEMBL224147,Amyloid-beta precursor protein,9.0
50344607,Oc1ccc(/C=C/C=C/C=C/c2ccc(O)cc2)cc1,50185986,"1,6-Bis(4'-hydroxyphenyl)-hexa-1,3,5-triene::CHEMBL381731",Amyloid-beta precursor protein,9.0
51208276,CN(C)c1ccc(/C=C2\COc3ccc(Br)cc3C2=O)cc1,50496524,CHEMBL3126514,Amyloid-beta precursor protein,9.1
51163800,CN(C)c1ccc(C#Cc2cnc(OCCO)c(I)c2)cc1,50476848,CHEMBL231916,Amyloid-beta precursor protein,9.2
50840924,COc1cc(C=CC(=O)CC(=O)C=Cc2cc(I)c(O)c(OC)c2)ccc1O,50195683,"5-hydroxy-1-(4-hydroxy-3-iodo-5-methoxyphenyl)-7-(4-hydroxy-3-methoxyphenyl)-1,4,6-heptatrien-3-one::CHEMBL215110",Amyloid-beta precursor protein,9.37
